Provinsi,Kode_Kab,Kabupaten_Kota,Bulan,Luas_Panen
ACEH,1102.0,ACEH SINGKIL,Januari,82.55
ACEH,1103.0,ACEH SELATAN,Januari,539.66
ACEH,1104.0,ACEH TENGGARA,Januari,105.49
ACEH,1105.0,ACEH TIMUR,Januari,3143.09
ACEH,1106.0,ACEH TENGAH,Januari,160.31
ACEH,1107.0,ACEH BARAT,Januari,0.0
ACEH,1108.0,ACEH BESAR,Januari,983.96
ACEH,1109.0,PIDIE,Januari,0.0
ACEH,1110.0,BIREUEN,Januari,1574.1
ACEH,1111.0,ACEH UTARA,Januari,5355.36
ACEH,1112.0,ACEH BARAT DAYA,Januari,4129.76
ACEH,1113.0,GAYO LUES,Januari,542.95
ACEH,1114.0,ACEH TAMIANG,Januari,409.23
ACEH,1115.0,NAGAN RAYA,Januari,740.76
ACEH,1116.0,ACEH JAYA,Januari,341.5
ACEH,1117.0,BENER MERIAH,Januari,5.949999999999999
ACEH,1118.0,PIDIE JAYA,Januari,372.49
ACEH,1171.0,BANDA ACEH,Januari,0.0
ACEH,1172.0,SABANG,Januari,0.0
ACEH,1173.0,LANGSA,Januari,0.0
ACEH,1174.0,LHOKSEUMAWE,Januari,18.73
ACEH,1175.0,SUBULUSSALAM,Januari,1.23
SUMATERA UTARA,1201.0,NIAS,Januari,1218.91
SUMATERA UTARA,1202.0,MANDAILING NATAL,Januari,1363.8
SUMATERA UTARA,1203.0,TAPANULI SELATAN,Januari,3185.679999999999
SUMATERA UTARA,1204.0,TAPANULI TENGAH,Januari,204.85
SUMATERA UTARA,1205.0,TAPANULI UTARA,Januari,430.9
SUMATERA UTARA,1206.0,TOBA,Januari,994.81
SUMATERA UTARA,1207.0,LABUHAN BATU,Januari,710.16
SUMATERA UTARA,1208.0,ASAHAN,Januari,46.260000000000005
SUMATERA UTARA,1209.0,SIMALUNGUN,Januari,3654.42
SUMATERA UTARA,1210.0,DAIRI,Januari,429.35999999999996
SUMATERA UTARA,1211.0,KARO,Januari,905.04
SUMATERA UTARA,1212.0,DELI SERDANG,Januari,1250.89
